ArtistId,ArtistName,AlbumId,TitleAlbum,TrackId,TrackName,TrackUnitPrice,TrackBytes,GenreId,GenreName
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],344,Travelling Riverside Blues,0.99,10232581,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],345,Whole Lotta Love,0.99,12258175,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],346,Somethin' Else,0.99,4165650,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],347,Communication Breakdown(3),0.99,6041133,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],348,I Can't Quit You Baby(2),0.99,12377615,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],349,You Shook Me(2),0.99,20138673,1,Rock
22,Led Zeppelin,30,BBC Sessions [Disc 1] [Live],350,How Many More Times,0.99,23092953,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,351,Debra Kadabra,0.99,7649679,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,352,Carolina Hard-Core Ecstasy,0.99,11731061,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,353,Sam With The Showing Scalp Flat Top,0.99,5572993,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,354,Poofter's Froth Wyoming Plans Ahead,0.99,6007019,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,355,200 Years Old,0.99,8912465,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,356,Cucamonga,0.99,4728586,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,357,Advance Romance,0.99,22080051,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,358,Man With The Woman Head,0.99,2922044,1,Rock
23,Frank Zappa & Captain Beefheart,31,Bongo Fury,359,Muffin Man,0.99,10891682,1,Rock
55,David Coverdale,40,Into The Light,489,Into The Light,0.99,2452653,1,Rock
55,David Coverdale,40,Into The Light,490,River Song,0.99,14359478,1,Rock
55,David Coverdale,40,Into The Light,491,She Give Me ...,0.99,8385478,1,Rock
55,David Coverdale,40,Into The Light,492,Don't You Cry,0.99,11269612,1,Rock
55,David Coverdale,40,Into The Light,493,Love Is Blind,0.99,11409720,1,Rock
55,David Coverdale,40,Into The Light,494,Slave,0.99,9425200,1,Rock
55,David Coverdale,40,Into The Light,495,Cry For Love,0.99,9567075,1,Rock
55,David Coverdale,40,Into The Light,496,Living On Love,0.99,12785876,1,Rock
55,David Coverdale,40,Into The Light,497,Midnight Blue,0.99,9750990,1,Rock
55,David Coverdale,40,Into The Light,498,Too Many Tears,0.99,11810238,1,Rock
55,David Coverdale,40,Into The Light,499,Don't Lie To Me,0.99,9288007,1,Rock
55,David Coverdale,40,Into The Light,500,Wherever You May Go,0.99,7803074,1,Rock
58,Deep Purple,43,MK III The Final Concerts [Disc 1],543,Burn,0.99,14775708,1,Rock
58,Deep Purple,43,MK III The Final Concerts [Disc 1],544,Stormbringer,0.99,9050022,1,Rock
58,Deep Purple,43,MK III The Final Concerts [Disc 1],545,Gypsy,0.99,11046952,1,Rock
58,Deep Purple,43,MK III The Final Concerts [Disc 1],546,Lady Double Dealer,0.99,7608759,1,Rock
58,Deep Purple,43,MK III The Final Concerts [Disc 1],547,Mistreated,0.99,24596235,1,Rock
58,Deep Purple,43,MK III The Final Concerts [Disc 1],548,Smoke On The Water,0.99,20103125,1,Rock
58,Deep Purple,43,MK III The Final Concerts [Disc 1],549,You Fool No One,0.99,26369966,1,Rock
22,Led Zeppelin,44,Physical Graffiti [Disc 1],550,Custard Pie,0.99,8348257,1,Rock
22,Led Zeppelin,44,Physical Graffiti [Disc 1],551,The Rover,0.99,11011286,1,Rock
22,Led Zeppelin,44,Physical Graffiti [Disc 1],552,In My Time Of Dying,0.99,21676727,1,Rock
22,Led Zeppelin,44,Physical Graffiti [Disc 1],553,Houses Of The Holy,0.99,7972503,1,Rock
22,Led Zeppelin,44,Physical Graffiti [Disc 1],554,Trampled Under Foot,0.99,11154468,1,Rock
22,Led Zeppelin,44,Physical Graffiti [Disc 1],555,Kashmir,0.99,16686580,1,Rock
59,Santana,46,Supernatural,570,(Da Le) Yaleo,0.99,11769507,1,Rock
59,Santana,46,Supernatural,571,Love Of My Life,0.99,11634337,1,Rock
59,Santana,46,Supernatural,572,Put Your Lights On,0.99,9394769,1,Rock
59,Santana,46,Supernatural,573,Africa Bamba,0.99,9492487,1,Rock
59,Santana,46,Supernatural,574,Smooth,0.99,9867455,1,Rock
59,Santana,46,Supernatural,575,Do You Like The Way,0.99,11741062,1,Rock
59,Santana,46,Supernatural,576,Maria Maria,0.99,8664601,1,Rock
59,Santana,46,Supernatural,577,Migra,0.99,10963305,1,Rock
59,Santana,46,Supernatural,578,Corazon Espinado,0.99,9206802,1,Rock
59,Santana,46,Supernatural,579,Wishing It Was,0.99,9771348,1,Rock
59,Santana,46,Supernatural,580,El Farol,0.99,9599353,1,Rock
59,Santana,46,Supernatural,581,Primavera,0.99,12504234,1,Rock
59,Santana,46,Supernatural,582,The Calling,0.99,24703884,1,Rock
58,Deep Purple,50,The Final Concerts (Disc 2),620,Space Truckin',0.99,39267613,1,Rock
58,Deep Purple,50,The Final Concerts (Disc 2),621,Going Down / Highway Star,0.99,29846063,1,Rock
58,Deep Purple,50,The Final Concerts (Disc 2),622,Mistreated (Alternate Version),0.99,27775442,1,Rock
58,Deep Purple,50,The Final Concerts (Disc 2),623,You Fool No One (Alternate Version),0.99,24887209,1,Rock
58,Deep Purple,58,Come Taste The Band,745,Comin' Home,0.99,7644604,1,Rock
58,Deep Purple,58,Come Taste The Band,746,Lady Luck,0.99,5501379,1,Rock
58,Deep Purple,58,Come Taste The Band,747,Gettin' Tighter,0.99,7176909,1,Rock
58,Deep Purple,58,Come Taste The Band,748,Dealer,0.99,7591066,1,Rock
58,Deep Purple,58,Come Taste The Band,749,I Need Love,0.99,8701064,1,Rock
58,Deep Purple,58,Come Taste The Band,750,Drifter,0.99,8001505,1,Rock
58,Deep Purple,58,Come Taste The Band,751,Love Child,0.99,6173806,1,Rock
58,Deep Purple,58,Come Taste The Band,752,This Time Around / Owed to 'G' [Instrumental],0.99,11995679,1,Rock
58,Deep Purple,58,Come Taste The Band,753,You Keep On Moving,0.99,10447868,1,Rock
58,Deep Purple,59,Deep Purple In Rock,754,Speed King,0.99,8587578,1,Rock
58,Deep Purple,59,Deep Purple In Rock,755,Bloodsucker,0.99,8344405,1,Rock
58,Deep Purple,59,Deep Purple In Rock,756,Child In Time,0.99,20230089,1,Rock
58,Deep Purple,59,Deep Purple In Rock,757,Flight Of The Rat,0.99,15563967,1,Rock
58,Deep Purple,59,Deep Purple In Rock,758,Into The Fire,0.99,6849310,1,Rock
58,Deep Purple,59,Deep Purple In Rock,759,Living Wreck,0.99,8993056,1,Rock
